Date,AQI
20151007,377
20150907,49
20151021,95
20150225,246
20140810,111
20150926,62
20140215,466
20150608,47
20150315,167
20150910,56
20140702,162
20141230,143
20141103,58
20150928,77
20140628,54
20150213,203
20151211,134
20140902,146
20141203,69
20140624,118
20140406,97
20150524,157
20150707,102
20150302,104
20141224,85
20140804,170
20141023,150
20151107,24
20151207,241
20150829,102
20150601,136
20150312,103
20151030,52
20140602,62
20140125,174
20140722,35
20140603,106
20150719,113
20150224,231
20141228,245
20150304,56
20140227,50
20140920,183
20150408,138
20140117,432
20150808,130
20140104,172
20140303,272
20150517,198
20140601,143
20150824,38
20150605,91
20140711,51
20150402,74
20141101,207
20150621,105
20150908,81
20151120,99
20140812,143
20150602,139
20140928,85
20150214,350
20140314,71
20141112,63
20151001,47
20150430,160
20140909,73
20140102,170
20150421,108
20141102,70
20150211,204
20141211,137
20151226,500
20151018,376
20140609,93
20150718,87
20140911,126
20151116,263
20150714,114
20141206,74
20141122,212
20140802,207
20150105,245
20150528,146
20141124,153
20150612,45
20151002,65
20150422,91
20150423,90
20140310,128
20150725,137
20140511,73
20141108,82
20140723,56
20140705,273
20151212,196
20140710,110
20150815,81
20150303,94
20141130,287
20150704,57
20140423,227
20150609,113
20141025,373
20140301,134
20140613,97
20150920,128
20140629,118
20151229,366
20140728,168
20140326,344
20140311,248
20141218,160
20140605,132
20140717,211
20151224,326
20140421,164
20141104,133
20140221,321
20150403,53
20150818,112
20150721,202
20141027,102
20150724,107
20141109,89
20150525,151
20140112,173
20141216,85
20140404,95
20151217,77
20150120,110
20140207,157
20150701,44
20150311,90
20151202,493
20140305,66
20151017,381
20140127,138
20140521,147
20140716,172
20151101,103
20140121,58
20150107,90
20140731,267
20140531,143
20140106,177
20150427,134
20140529,102
20151111,194
20151014,165
20140818,101
20140130,189
20140611,108
20150810,95
20150409,223
20141215,124
20140821,198
20151220,270
20140526,99
20140801,264
20140429,108
20140302,176
20140319,75
20141024,266
20151109,169
20150825,42
20140714,117
20150112,130
20151214,276
20150106,105
20141002,94
20150712,170
20150830,53
20150927,82
20140915,68
20151113,250
20151006,368
20150513,108
20151022,76
20141018,223
20150119,92
20140917,75
20140220,261
20150828,43
20140119,191
20140527,112
20151011,27
20150823,53
20141201,153
20150416,255
20150930,65
20151124,44
20141120,322
20150324,113
20151023,75
20140814,89
20140730,185
20141017,132
20150607,57
20140908,205
20150320,189
20150103,252
20140614,130
20140318,124
20150914,99
20141205,53
20150504,79
20141129,283
20150516,100
20140825,55
20151115,335
20150909,88
20150722,186
20140111,180
20140316,162
20150414,84
20140331,199
20150915,146
20151020,122
20150626,163
20140807,110
20151004,164
20140418,214
20140328,293
20150322,87
20141019,325
20140522,235
20140223,300
20140815,120
20140416,118
20151016,286
20150819,79
20140922,129
20150606,83
20140422,140
20140907,209
20150820,79
20140212,192
20140910,89
20141004,154
20150619,35
20150127,128
20150812,139
20140912,139
20140813,46
20140520,198
20140617,206
20141204,57
20150530,113
20150529,127
20140414,286
20150803,141
20151012,44
20140506,105
20150202,220
20150521,67
20151204,67
20150615,126
